ID Factura,Sucursal,Ciudad,Tipo Cliente,Sexo,Linea de Producto,Precio Unitario,Cantidad,Tax 5%,Total,Fecha,Hora,Tipo Pago,cogs,porcentaje de margen bruto,ingreso bruto,Rating
351-62-0822,Este,Punta Cana,Miembro,Femenino,Cosmeticos,14.48,4,2.896,60.816,2/6/2019,18:07,Cheque,57.92,4.761904762,2.896,4.5
529-56-3974,Este,Punta Cana,Miembro,Masculino,Accesorios Electronicos,25.51,4,5.102,107.142,3/9/2019,17:03,Efectivo,102.04,4.761904762,5.102,6.8
365-64-0515,Sur,San Cristobal,Normal,Femenino,Accesorios Electronicos,46.95,5,11.7375,246.4875,2/12/2019,10:25,Cheque,234.75,4.761904762,11.7375,7.1
252-56-2699,Sur,San Cristobal,Normal,Masculino,Alimentos y Bebidas,43.19,10,21.595,453.495,2/7/2019,16:48,Cheque,431.9,4.761904762,21.595,8.2
829-34-3910,Sur,San Cristobal,Normal,Femenino,Salud y Belleza,71.38,10,35.69,749.49,3/29/2019,19:21,Efectivo,713.8,4.761904762,35.69,5.7
299-46-1805,Este,Punta Cana,Miembro,Femenino,Deportes y Viajes,93.72,6,28.116,590.436,1/15/2019,16:19,Efectivo,562.32,4.761904762,28.116,4.5
656-95-9349,Sur,San Cristobal,Miembro,Femenino,Salud y Belleza,68.93,7,24.1255,506.6355,3/11/2019,11:03,Tarjeta de Credito,482.51,4.761904762,24.1255,4.6
765-26-6951,Sur,San Cristobal,Normal,Masculino,Deportes y Viajes,72.61,6,21.783,457.443,1/1/2019,10:39,Tarjeta de Credito,435.66,4.761904762,21.783,6.9
329-62-1586,Sur,San Cristobal,Normal,Masculino,Alimentos y Bebidas,54.67,3,8.2005,172.2105,1/21/2019,18:00,Tarjeta de Credito,164.01,4.761904762,8.2005,8.6
319-50-3348,Este,Punta Cana,Normal,Femenino,Hogar y Estilo de Vida,40.3,2,4.03,84.63,3/11/2019,15:30,Cheque,80.6,4.761904762,4.03,4.4
300-71-4605,Norte,Santiago,Miembro,Masculino,Accesorios Electronicos,86.04,5,21.51,451.71,2/25/2019,11:24,Cheque,430.2,4.761904762,21.51,4.8
371-85-5789,Este,Punta Cana,Normal,Masculino,Salud y Belleza,87.98,3,13.197,277.137,3/5/2019,10:40,Cheque,263.94,4.761904762,13.197,5.1
273-16-6619,Este,Punta Cana,Normal,Masculino,Hogar y Estilo de Vida,33.2,2,3.32,69.72,3/15/2019,12:20,Tarjeta de Credito,66.4,4.761904762,3.32,4.4
636-48-8204,Sur,San Cristobal,Normal,Masculino,Accesorios Electronicos,34.56,5,8.64,181.44,2/17/2019,11:15,Cheque,172.8,4.761904762,8.64,9.9
549-59-1358,Sur,San Cristobal,Miembro,Masculino,Deportes y Viajes,88.63,3,13.2945,279.1845,3/2/2019,17:36,Cheque,265.89,4.761904762,13.2945,6
227-03-5010,Sur,San Cristobal,Miembro,Femenino,Hogar y Estilo de Vida,52.59,8,21.036,441.756,3/22/2019,19:20,Tarjeta de Credito,420.72,4.761904762,21.036,8.5
649-29-6775,Este,Punta Cana,Normal,Masculino,Cosmeticos,33.52,1,1.676,35.196,2/8/2019,15:31,Efectivo,33.52,4.761904762,1.676,6.7
189-17-4241,Sur,San Cristobal,Normal,Femenino,Cosmeticos,87.67,2,8.767,184.107,3/10/2019,12:17,Tarjeta de Credito,175.34,4.761904762,8.767,7.7
145-94-9061,Este,Punta Cana,Normal,Femenino,Alimentos y Bebidas,88.36,5,22.09,463.89,1/25/2019,19:48,Efectivo,441.8,4.761904762,22.09,9.6
848-62-7243,Sur,San Cristobal,Normal,Masculino,Salud y Belleza,24.89,9,11.2005,235.2105,3/15/2019,15:36,Efectivo,224.01,4.761904762,11.2005,7.4
871-79-8483,Este,Punta Cana,Normal,Masculino,Cosmeticos,94.13,5,23.5325,494.1825,2/25/2019,19:39,Tarjeta de Credito,470.65,4.761904762,23.5325,4.8
149-71-6266,Este,Punta Cana,Miembro,Masculino,Deportes y Viajes,78.07,9,35.1315,737.7615,1/28/2019,12:43,Efectivo,702.63,4.761904762,35.1315,4.5
640-49-2076,Este,Punta Cana,Normal,Masculino,Deportes y Viajes,83.78,8,33.512,703.752,1/10/2019,14:49,Efectivo,670.24,4.761904762,33.512,5.1
595-11-5460,Sur,San Cristobal,Normal,Masculino,Salud y Belleza,96.58,2,9.658,202.818,3/15/2019,10:12,Tarjeta de Credito,193.16,4.761904762,9.658,5.1
183-56-6882,Norte,Santiago,Miembro,Femenino,Alimentos y Bebidas,99.42,4,19.884,417.564,2/6/2019,10:42,Cheque,397.68,4.761904762,19.884,7.5
232-16-2483,Norte,Santiago,Miembro,Femenino,Deportes y Viajes,68.12,1,3.406,71.526,1/7/2019,12:28,Cheque,68.12,4.761904762,3.406,6.8
129-29-8530,Sur,San Cristobal,Miembro,Masculino,Deportes y Viajes,62.62,5,15.655,328.755,3/10/2019,19:15,Cheque,313.1,4.761904762,15.655,7
272-65-1806,Sur,San Cristobal,Normal,Femenino,Accesorios Electronicos,60.88,9,27.396,575.316,1/15/2019,17:17,Cheque,547.92,4.761904762,27.396,4.7
333-73-7901,Norte,Santiago,Normal,Femenino,Salud y Belleza,54.92,8,21.968,461.328,3/23/2019,13:24,Cheque,439.36,4.761904762,21.968,7.6
777-82-7220,Este,Punta Cana,Miembro,Masculino,Hogar y Estilo de Vida,30.12,8,12.048,253.008,3/3/2019,13:01,Efectivo,240.96,4.761904762,12.048,7.7
280-35-5823,Este,Punta Cana,Miembro,Femenino,Hogar y Estilo de Vida,86.72,1,4.336,91.056,1/17/2019,18:45,Cheque,86.72,4.761904762,4.336,7.9
554-53-8700,Norte,Santiago,Miembro,Masculino,Hogar y Estilo de Vida,56.11,2,5.611,117.831,2/2/2019,10:11,Efectivo,112.22,4.761904762,5.611,6.3
354-25-5821,Este,Punta Cana,Miembro,Femenino,Deportes y Viajes,69.12,6,20.736,435.456,2/8/2019,13:03,Efectivo,414.72,4.761904762,20.736,5.6
228-96-1411,Norte,Santiago,Miembro,Femenino,Alimentos y Bebidas,98.7,8,39.48,829.08,3/4/2019,20:39,Efectivo,789.6,4.761904762,39.48,7.6
617-15-4209,Norte,Santiago,Miembro,Masculino,Salud y Belleza,15.37,2,1.537,32.277,3/16/2019,19:47,Efectivo,30.74,4.761904762,1.537,7.2
132-32-9879,Este,Punta Cana,Miembro,Femenino,Accesorios Electronicos,93.96,4,18.792,394.632,3/9/2019,18:00,Efectivo,375.84,4.761904762,18.792,9.5
370-41-7321,Este,Punta Cana,Miembro,Masculino,Salud y Belleza,56.69,9,25.5105,535.7205,2/27/2019,17:24,Tarjeta de Credito,510.21,4.761904762,25.5105,8.4
727-46-3608,Este,Punta Cana,Miembro,Femenino,Alimentos y Bebidas,20.01,9,9.0045,189.0945,2/6/2019,15:47,Cheque,180.09,4.761904762,9.0045,4.1
669-54-1719,Este,Punta Cana,Miembro,Masculino,Accesorios Electronicos,18.93,6,5.679,119.259,2/10/2019,12:45,Tarjeta de Credito,113.58,4.761904762,5.679,8.1
574-22-5561,Norte,Santiago,Miembro,Femenino,Cosmeticos,82.63,10,41.315,867.615,3/19/2019,17:08,Cheque,826.3,4.761904762,41.315,7.9
326-78-5178,Norte,Santiago,Miembro,Masculino,Alimentos y Bebidas,91.4,7,31.99,671.79,2/3/2019,10:19,Efectivo,639.8,4.761904762,31.99,9.5
162-48-8011,Sur,San Cristobal,Miembro,Femenino,Alimentos y Bebidas,44.59,5,11.1475,234.0975,2/10/2019,15:10,Efectivo,222.95,4.761904762,11.1475,8.5
616-24-2851,Este,Punta Cana,Miembro,Femenino,Cosmeticos,17.87,4,3.574,75.054,3/22/2019,14:42,Cheque,71.48,4.761904762,3.574,6.5
778-71-5554,Norte,Santiago,Miembro,Masculino,Cosmeticos,15.43,1,0.7715,16.2015,1/25/2019,15:46,Tarjeta de Credito,15.43,4.761904762,0.7715,6.1
242-55-6721,Este,Punta Cana,Normal,Masculino,Hogar y Estilo de Vida,16.16,2,1.616,33.936,3/7/2019,11:49,Cheque,32.32,4.761904762,1.616,6.5
399-46-5918,Norte,Santiago,Normal,Femenino,Accesorios Electronicos,85.98,8,34.392,722.232,2/28/2019,19:01,Efectivo,687.84,4.761904762,34.392,8.2
106-35-6779,Sur,San Cristobal,Miembro,Masculino,Hogar y Estilo de Vida,44.34,2,4.434,93.114,3/27/2019,11:26,Efectivo,88.68,4.761904762,4.434,5.8
635-40-6220,Sur,San Cristobal,Normal,Masculino,Salud y Belleza,89.6,8,35.84,752.64,2/7/2019,11:28,Cheque,716.8,4.761904762,35.84,6.6
817-48-8732,Sur,San Cristobal,Miembro,Femenino,Hogar y Estilo de Vida,72.35,10,36.175,759.675,1/20/2019,15:55,Efectivo,723.5,4.761904762,36.175,5.4
120-06-4233,Norte,Santiago,Normal,Masculino,Accesorios Electronicos,30.61,6,9.183,192.843,3/12/2019,20:36,Efectivo,183.66,4.761904762,9.183,9.3
285-68-5083,Norte,Santiago,Miembro,Femenino,Deportes y Viajes,24.74,3,3.711,77.931,2/15/2019,17:47,Tarjeta de Credito,74.22,4.761904762,3.711,10
803-83-5989,Norte,Santiago,Normal,Masculino,Hogar y Estilo de Vida,55.73,6,16.719,351.099,2/24/2019,10:55,Cheque,334.38,4.761904762,16.719,7
347-34-2234,Este,Punta Cana,Miembro,Femenino,Deportes y Viajes,55.07,9,24.7815,520.4115,2/3/2019,13:40,Cheque,495.63,4.761904762,24.7815,10
199-75-8169,Sur,San Cristobal,Miembro,Masculino,Deportes y Viajes,15.81,10,7.905,166.005,3/6/2019,12:27,Tarjeta de Credito,158.1,4.761904762,7.905,8.6
853-23-2453,Este,Punta Cana,Miembro,Masculino,Salud y Belleza,75.74,4,15.148,318.108,2/14/2019,14:35,Efectivo,302.96,4.761904762,15.148,7.6
877-22-3308,Sur,San Cristobal,Miembro,Masculino,Salud y Belleza,15.87,10,7.935,166.635,3/13/2019,16:40,Efectivo,158.7,4.761904762,7.935,5.8
838-78-4295,Norte,Santiago,Normal,Femenino,Salud y Belleza,33.47,2,3.347,70.287,2/10/2019,15:43,Cheque,66.94,4.761904762,3.347,6.7
109-28-2512,Este,Punta Cana,Miembro,Femenino,Cosmeticos,97.61,6,29.283,614.943,1/7/2019,15:01,Cheque,585.66,4.761904762,29.283,9.9
232-11-3025,Sur,San Cristobal,Normal,Masculino,Deportes y Viajes,78.77,10,39.385,827.085,1/24/2019,10:04,Efectivo,787.7,4.761904762,39.385,6.4
382-03-4532,Sur,San Cristobal,Miembro,Femenino,Salud y Belleza,18.33,1,0.9165,19.2465,2/2/2019,18:50,Efectivo,18.33,4.761904762,0.9165,4.3
393-65-2792,Norte,Santiago,Normal,Masculino,Alimentos y Bebidas,89.48,10,44.74,939.54,1/6/2019,12:46,Tarjeta de Credito,894.8,4.761904762,44.74,9.6
796-12-2025,Norte,Santiago,Normal,Masculino,Cosmeticos,62.12,10,31.06,652.26,2/11/2019,16:19,Efectivo,621.2,4.761904762,31.06,5.9
510-95-6347,Este,Punta Cana,Miembro,Femenino,Alimentos y Bebidas,48.52,3,7.278,152.838,3/5/2019,18:17,Cheque,145.56,4.761904762,7.278,4
841-35-6630,Norte,Santiago,Normal,Femenino,Accesorios Electronicos,75.91,6,22.773,478.233,3/9/2019,18:21,Efectivo,455.46,4.761904762,22.773,8.7
287-21-9091,Sur,San Cristobal,Normal,Masculino,Hogar y Estilo de Vida,74.67,9,33.6015,705.6315,1/22/2019,10:55,Cheque,672.03,4.761904762,33.6015,9.4
732-94-0499,Norte,Santiago,Normal,Femenino,Accesorios Electronicos,41.65,10,20.825,437.325,1/13/2019,17:04,Tarjeta de Credito,416.5,4.761904762,20.825,5.4
263-10-3913,Norte,Santiago,Miembro,Masculino,Cosmeticos,49.04,9,22.068,463.428,1/9/2019,14:20,Tarjeta de Credito,441.36,4.761904762,22.068,8.6
381-20-0914,Sur,San Cristobal,Miembro,Femenino,Cosmeticos,20.01,9,9.0045,189.0945,1/12/2019,15:48,Tarjeta de Credito,180.09,4.761904762,9.0045,5.7
829-49-1914,Norte,Santiago,Miembro,Femenino,Alimentos y Bebidas,78.31,10,39.155,822.255,3/5/2019,16:24,Cheque,783.1,4.761904762,39.155,6.6
756-01-7507,Norte,Santiago,Normal,Femenino,Salud y Belleza,20.38,5,5.095,106.995,1/22/2019,18:56,Efectivo,101.9,4.761904762,5.095,6
870-72-4431,Norte,Santiago,Normal,Femenino,Salud y Belleza,99.19,6,29.757,624.897,1/21/2019,14:42,Tarjeta de Credito,595.14,4.761904762,29.757,5.5
847-38-7188,Este,Punta Cana,Normal,Femenino,Alimentos y Bebidas,96.68,3,14.502,304.542,1/26/2019,19:56,Cheque,290.04,4.761904762,14.502,6.4
480-63-2856,Norte,Santiago,Normal,Masculino,Alimentos y Bebidas,19.25,8,7.7,161.7,1/23/2019,18:37,Cheque,154,4.761904762,7.7,6.6
787-56-0757,Norte,Santiago,Miembro,Femenino,Alimentos y Bebidas,80.36,4,16.072,337.512,2/23/2019,18:45,Tarjeta de Credito,321.44,4.761904762,16.072,8.3
360-39-5055,Norte,Santiago,Miembro,Masculino,Deportes y Viajes,48.91,5,12.2275,256.7775,3/9/2019,10:17,Efectivo,244.55,4.761904762,12.2275,6.6
730-50-9884,Norte,Santiago,Normal,Femenino,Deportes y Viajes,83.06,7,29.071,610.491,3/5/2019,14:31,Cheque,581.42,4.761904762,29.071,4
362-58-8315,Norte,Santiago,Normal,Masculino,Cosmeticos,76.52,5,19.13,401.73,3/25/2019,10:23,Efectivo,382.6,4.761904762,19.13,9.9
633-44-8566,Sur,San Cristobal,Miembro,Masculino,Alimentos y Bebidas,49.38,7,17.283,362.943,3/27/2019,20:35,Tarjeta de Credito,345.66,4.761904762,17.283,7.3
504-35-8843,Sur,San Cristobal,Normal,Masculino,Deportes y Viajes,42.47,1,2.1235,44.5935,1/2/2019,16:57,Efectivo,42.47,4.761904762,2.1235,5.7
318-68-5053,Este,Punta Cana,Normal,Femenino,Salud y Belleza,76.99,6,23.097,485.037,2/27/2019,17:55,Efectivo,461.94,4.761904762,23.097,6.1
565-80-5980,Norte,Santiago,Miembro,Femenino,Hogar y Estilo de Vida,47.38,4,9.476,198.996,1/23/2019,10:25,Efectivo,189.52,4.761904762,9.476,7.1
225-32-0908,Norte,Santiago,Normal,Femenino,Deportes y Viajes,44.86,10,22.43,471.03,1/26/2019,19:54,Cheque,448.6,4.761904762,22.43,8.2
873-51-0671,Sur,San Cristobal,Miembro,Femenino,Deportes y Viajes,21.98,7,7.693,161.553,1/10/2019,16:42,Cheque,153.86,4.761904762,7.693,5.1
152-08-9985,Este,Punta Cana,Miembro,Masculino,Salud y Belleza,64.36,9,28.962,608.202,3/12/2019,12:09,Tarjeta de Credito,579.24,4.761904762,28.962,8.6
512-91-0811,Norte,Santiago,Normal,Masculino,Salud y Belleza,89.75,1,4.4875,94.2375,2/6/2019,20:05,Tarjeta de Credito,89.75,4.761904762,4.4875,6.6
594-34-4444,Sur,San Cristobal,Normal,Masculino,Accesorios Electronicos,97.16,1,4.858,102.018,3/8/2019,20:38,Cheque,97.16,4.761904762,4.858,7.2
766-85-7061,Este,Punta Cana,Normal,Masculino,Salud y Belleza,87.87,10,43.935,922.635,3/29/2019,10:25,Cheque,878.7,4.761904762,43.935,5.1
871-39-9221,Norte,Santiago,Normal,Femenino,Accesorios Electronicos,12.45,6,3.735,78.435,2/9/2019,13:11,Efectivo,74.7,4.761904762,3.735,4.1
865-92-6136,Sur,San Cristobal,Normal,Masculino,Alimentos y Bebidas,52.75,3,7.9125,166.1625,3/23/2019,10:16,Cheque,158.25,4.761904762,7.9125,9.3
733-01-9107,Este,Punta Cana,Normal,Masculino,Hogar y Estilo de Vida,82.7,6,24.81,521.01,3/5/2019,18:14,Efectivo,496.2,4.761904762,24.81,7.4
163-56-7055,Norte,Santiago,Miembro,Masculino,Cosmeticos,48.71,1,2.4355,51.1455,3/26/2019,19:20,Efectivo,48.71,4.761904762,2.4355,4.1
189-98-2939,Norte,Santiago,Normal,Masculino,Cosmeticos,78.55,9,35.3475,742.2975,3/1/2019,13:22,Efectivo,706.95,4.761904762,35.3475,7.2
551-21-3069,Norte,Santiago,Normal,Femenino,Accesorios Electronicos,23.07,9,10.3815,218.0115,2/1/2019,11:27,Efectivo,207.63,4.761904762,10.3815,4.9
212-62-1842,Sur,San Cristobal,Normal,Masculino,Alimentos y Bebidas,58.26,6,17.478,367.038,3/28/2019,16:44,Efectivo,349.56,4.761904762,17.478,9.9
716-39-1409,Este,Punta Cana,Normal,Masculino,Salud y Belleza,30.35,7,10.6225,223.0725,3/19/2019,18:19,Efectivo,212.45,4.761904762,10.6225,8
704-48-3927,Sur,San Cristobal,Miembro,Masculino,Accesorios Electronicos,88.67,10,44.335,931.035,1/12/2019,14:50,Cheque,886.7,4.761904762,44.335,7.3
628-34-3388,Norte,Santiago,Normal,Masculino,Cosmeticos,27.38,6,8.214,172.494,1/5/2019,20:54,Tarjeta de Credito,164.28,4.761904762,8.214,7.9
630-74-5166,Sur,San Cristobal,Normal,Masculino,Deportes y Viajes,62.13,6,18.639,391.419,3/22/2019,20:19,Efectivo,372.78,4.761904762,18.639,7.4
588-01-7461,Norte,Santiago,Normal,Femenino,Alimentos y Bebidas,33.98,9,15.291,321.111,3/24/2019,10:43,Efectivo,305.82,4.761904762,15.291,4.2
861-77-0145,Norte,Santiago,Miembro,Masculino,Accesorios Electronicos,81.97,10,40.985,860.685,3/3/2019,14:30,Efectivo,819.7,4.761904762,40.985,9.2
479-26-8945,Este,Punta Cana,Miembro,Femenino,Deportes y Viajes,16.49,2,1.649,34.629,2/5/2019,11:32,Cheque,32.98,4.761904762,1.649,4.6
210-67-5886,Norte,Santiago,Miembro,Femenino,Salud y Belleza,98.21,3,14.7315,309.3615,2/5/2019,10:41,Tarjeta de Credito,294.63,4.761904762,14.7315,7.8
227-78-1148,Este,Punta Cana,Normal,Femenino,Cosmeticos,72.84,7,25.494,535.374,2/15/2019,12:44,Efectivo,509.88,4.761904762,25.494,8.4
645-44-1170,Sur,San Cristobal,Miembro,Masculino,Hogar y Estilo de Vida,58.07,9,26.1315,548.7615,1/19/2019,20:07,Cheque,522.63,4.761904762,26.1315,4.3
237-01-6122,Norte,Santiago,Miembro,Femenino,Hogar y Estilo de Vida,80.79,9,36.3555,763.4655,2/1/2019,20:31,Tarjeta de Credito,727.11,4.761904762,36.3555,9.5
225-98-1496,Norte,Santiago,Normal,Femenino,Cosmeticos,27.02,3,4.053,85.113,3/2/2019,13:01,Tarjeta de Credito,81.06,4.761904762,4.053,7.1
291-32-1427,Este,Punta Cana,Miembro,Masculino,Cosmeticos,21.94,5,5.485,115.185,3/5/2019,12:29,Cheque,109.7,4.761904762,5.485,5.3
659-65-8956,Este,Punta Cana,Miembro,Masculino,Cosmeticos,51.36,1,2.568,53.928,1/16/2019,15:26,Cheque,51.36,4.761904762,2.568,5.2
642-32-2990,Sur,San Cristobal,Normal,Femenino,Alimentos y Bebidas,10.96,10,5.48,115.08,2/2/2019,20:48,Cheque,109.6,4.761904762,5.48,6
378-24-2715,Este,Punta Cana,Normal,Masculino,Hogar y Estilo de Vida,53.44,2,5.344,112.224,1/20/2019,20:38,Cheque,106.88,4.761904762,5.344,4.1
638-60-7125,Sur,San Cristobal,Normal,Femenino,Accesorios Electronicos,99.56,8,39.824,836.304,2/14/2019,17:03,Tarjeta de Credito,796.48,4.761904762,39.824,5.2
659-36-1684,Norte,Santiago,Miembro,Masculino,Deportes y Viajes,57.12,7,19.992,419.832,1/12/2019,12:02,Tarjeta de Credito,399.84,4.761904762,19.992,6.5
219-22-9386,Este,Punta Cana,Miembro,Masculino,Deportes y Viajes,99.96,9,44.982,944.622,3/9/2019,17:26,Tarjeta de Credito,899.64,4.761904762,44.982,4.2
336-78-2147,Norte,Santiago,Miembro,Masculino,Hogar y Estilo de Vida,63.91,8,25.564,536.844,3/13/2019,19:52,Tarjeta de Credito,511.28,4.761904762,25.564,4.6
268-27-6179,Este,Punta Cana,Miembro,Femenino,Cosmeticos,56.47,8,22.588,474.348,3/9/2019,14:57,Cheque,451.76,4.761904762,22.588,7.3
668-90-8900,Sur,San Cristobal,Normal,Femenino,Hogar y Estilo de Vida,93.69,7,32.7915,688.6215,3/10/2019,18:44,Tarjeta de Credito,655.83,4.761904762,32.7915,4.5
870-54-3162,Sur,San Cristobal,Normal,Femenino,Deportes y Viajes,32.25,5,8.0625,169.3125,1/27/2019,13:26,Efectivo,161.25,4.761904762,8.0625,9
189-08-9157,Norte,Santiago,Normal,Femenino,Cosmeticos,31.73,9,14.2785,299.8485,1/8/2019,16:17,Tarjeta de Credito,285.57,4.761904762,14.2785,5.9
663-86-9076,Norte,Santiago,Miembro,Femenino,Alimentos y Bebidas,68.54,8,27.416,575.736,1/8/2019,15:57,Cheque,548.32,4.761904762,27.416,8.5
549-84-7482,Este,Punta Cana,Normal,Femenino,Deportes y Viajes,90.28,9,40.626,853.146,2/8/2019,11:15,Cheque,812.52,4.761904762,40.626,7.2
191-10-6171,Este,Punta Cana,Normal,Femenino,Cosmeticos,39.62,7,13.867,291.207,1/25/2019,13:18,Efectivo,277.34,4.761904762,13.867,7.5
802-70-5316,Sur,San Cristobal,Miembro,Femenino,Deportes y Viajes,92.13,6,27.639,580.419,3/6/2019,20:34,Efectivo,552.78,4.761904762,27.639,8.3
695-51-0018,Este,Punta Cana,Normal,Femenino,Deportes y Viajes,34.84,4,6.968,146.328,2/10/2019,18:36,Efectivo,139.36,4.761904762,6.968,7.4
590-83-4591,Este,Punta Cana,Miembro,Masculino,Accesorios Electronicos,87.45,6,26.235,550.935,2/17/2019,14:40,Tarjeta de Credito,524.7,4.761904762,26.235,8.8
483-71-1164,Norte,Santiago,Normal,Femenino,Salud y Belleza,81.3,6,24.39,512.19,3/8/2019,16:43,Cheque,487.8,4.761904762,24.39,5.3
597-78-7908,Norte,Santiago,Normal,Masculino,Cosmeticos,90.22,3,13.533,284.193,2/18/2019,19:39,Efectivo,270.66,4.761904762,13.533,6.2
700-81-1757,Sur,San Cristobal,Normal,Femenino,Accesorios Electronicos,26.31,5,6.5775,138.1275,1/18/2019,20:59,Tarjeta de Credito,131.55,4.761904762,6.5775,8.8
354-39-5160,Sur,San Cristobal,Miembro,Femenino,Hogar y Estilo de Vida,34.42,6,10.326,216.846,2/18/2019,15:39,Efectivo,206.52,4.761904762,10.326,9.8
241-72-9525,Este,Punta Cana,Normal,Masculino,Deportes y Viajes,51.91,10,25.955,545.055,2/16/2019,12:21,Efectivo,519.1,4.761904762,25.955,8.2
575-30-8091,Sur,San Cristobal,Normal,Masculino,Deportes y Viajes,72.5,8,29,609,3/16/2019,19:25,Cheque,580,4.761904762,29,9.2
731-81-9469,Norte,Santiago,Miembro,Femenino,Deportes y Viajes,89.8,10,44.9,942.9,1/23/2019,13:00,Tarjeta de Credito,898,4.761904762,44.9,5.4
280-17-4359,Norte,Santiago,Miembro,Masculino,Salud y Belleza,90.5,10,45.25,950.25,1/25/2019,13:48,Efectivo,905,4.761904762,45.25,8.1
338-65-2210,Norte,Santiago,Miembro,Femenino,Salud y Belleza,68.6,10,34.3,720.3,2/5/2019,19:57,Efectivo,686,4.761904762,34.3,9.1
488-25-4221,Norte,Santiago,Miembro,Femenino,Alimentos y Bebidas,30.41,1,1.5205,31.9305,2/22/2019,10:36,Tarjeta de Credito,30.41,4.761904762,1.5205,8.4
239-10-7476,Sur,San Cristobal,Normal,Femenino,Hogar y Estilo de Vida,77.95,6,23.385,491.085,1/21/2019,16:37,Cheque,467.7,4.761904762,23.385,8
458-41-1477,Norte,Santiago,Normal,Femenino,Salud y Belleza,46.26,6,13.878,291.438,3/8/2019,17:11,Tarjeta de Credito,277.56,4.761904762,13.878,9.5
685-64-1609,Sur,San Cristobal,Miembro,Femenino,Cosmeticos,30.14,10,15.07,316.47,2/10/2019,12:28,Cheque,301.4,4.761904762,15.07,9.2
568-90-5112,Norte,Santiago,Normal,Masculino,Salud y Belleza,66.14,4,13.228,277.788,3/19/2019,12:46,Tarjeta de Credito,264.56,4.761904762,13.228,5.6
262-47-2794,Este,Punta Cana,Miembro,Masculino,Hogar y Estilo de Vida,71.86,8,28.744,603.624,3/6/2019,15:07,Tarjeta de Credito,574.88,4.761904762,28.744,6.2
238-49-0436,Sur,San Cristobal,Normal,Masculino,Salud y Belleza,32.46,8,12.984,272.664,3/27/2019,13:48,Tarjeta de Credito,259.68,4.761904762,12.984,4.9
608-96-3517,Este,Punta Cana,Miembro,Femenino,Cosmeticos,91.54,4,18.308,384.468,3/23/2019,19:20,Tarjeta de Credito,366.16,4.761904762,18.308,4.8
584-86-7256,Norte,Santiago,Miembro,Masculino,Deportes y Viajes,34.56,7,12.096,254.016,3/11/2019,16:07,Tarjeta de Credito,241.92,4.761904762,12.096,7.3
746-94-0204,Sur,San Cristobal,Normal,Masculino,Cosmeticos,83.24,9,37.458,786.618,1/29/2019,11:56,Tarjeta de Credito,749.16,4.761904762,37.458,7.4
214-17-6927,Norte,Santiago,Normal,Femenino,Alimentos y Bebidas,16.48,6,4.944,103.824,2/7/2019,18:23,Cheque,98.88,4.761904762,4.944,9.9
400-89-4171,Norte,Santiago,Normal,Femenino,Deportes y Viajes,80.97,8,32.388,680.148,1/28/2019,13:05,Efectivo,647.76,4.761904762,32.388,9.3
782-95-9291,Sur,San Cristobal,Miembro,Masculino,Alimentos y Bebidas,92.29,5,23.0725,484.5225,2/20/2019,15:55,Tarjeta de Credito,461.45,4.761904762,23.0725,9
279-74-2924,Este,Punta Cana,Miembro,Masculino,Accesorios Electronicos,72.17,1,3.6085,75.7785,1/4/2019,19:40,Efectivo,72.17,4.761904762,3.6085,6.1
